ITEM	QTY/BD	REF DES	DESCRIPTION	Mfr.	Mfr's PN	NOTES
67	1	PP/Q3	NMOS_TRANSISTOR IRFR220N unknown TO252AA	**MISSING**	**MISSING**	
68	1	PP/R5	RESISTOR 26.7k 1% 1/10W 0603	**MISSING**	**MISSING**	
69	1	PP/R6	RESISTOR 133k 1% 1/10W 0603	**MISSING**	**MISSING**	
70	1	PP/U1	DG403 unknown unknown SO16	**MISSING**	**MISSING**	
71	1	PP/R7	RESISTOR 100 5% 1/10W 0603	**MISSING**	**MISSING**	
72	2	PP/R8,PP/R9	RESISTOR 100 1% 1/10W 0603	**MISSING**	**MISSING**	
73	5	PP/R10,X1/R2,X2/R2,X3/R2,X4/R2	RESISTOR 4.99 1% 1/10W 0603	Vishay Dale	CRCW06034R99FKEA	
74	8	PP/D1,PP/D2,PP/D3,PP/D4,PP/D5,PP/D6,PP/D7,PP/D8	DIODE 1N914UR N/A DO213AA	Microsemi HI-REL [MIL]	JANTX1N914UR	
75	1	PP/C9	CAPACITOR DNP 50WVDC X7R 0603	**MISSING**	**MISSING**	
76	2	PP/Q1,PP/Q6	PNP_TRANSISTOR MMBT2907A unknown UB	**MISSING**	**MISSING**	
77	1	PP/Q4	PMOS_TRANSISTOR IRFR9120N unknown TO252AA	**MISSING**	**MISSING**	
78	2	PP/R1,PP/R4	RESISTOR 12.1 1% 1/10W 0603	**MISSING**	**MISSING**	
79	1	PP/R2	RESISTOR 30.1k 1% 1/10W 0603	**MISSING**	**MISSING**	
80	1	PP/R3	RESISTOR 60.4k 1% 1/10W 0603	**MISSING**	**MISSING**	
81	2	PP/C10,PP/C11	CAPACITOR 0.27uF 25WVDC X7R 1206	**MISSING**	**MISSING**	
82	1	PP/R11	RESISTOR 100 5% 1/4W 1206	**MISSING**	**MISSING**	
83	1	PP/R12	RESISTOR 182 1% 1/10W 0603	**MISSING**	**MISSING**	
84	9	PP/C13,X1/C25,X1/C27,X2/C25,X2/C27,X3/C25,X3/C27,X4/C25,X4/C27	CAPACITOR 22nF 100WVDC X7R 0805	Murata Electronics North America	GRM21BR72A223KA01L	
85	1	PP/R13	RESISTOR 16.2 1% 1/10W 0603	**MISSING**	**MISSING**	
86	1	PP/C14	CAPACITOR 0.68uF 50WVDC X7R 1812	**MISSING**	**MISSING**	
87	29	U15,X1/U11,X1/U4,X1/U5,X1/X1/U10,X1/X2/U10,X1/X3/U10,X1/X4/U10,X2/U11,X2/U4,X2/U5,X2/X1/U10,X2/X2/U10,X2/X3/U10,X2/X4/U10,X3/U11,X3/U4,X3/U5,X3/X1/U10,X3/X2/U10,X3/X3/U10,X3/X4/U10,X4/U11,X4/U4,X4/U5,X4/X1/U10,X4/X2/U10,X4/X3/U10,X4/X4/U10	DUAL_OPAMP LM6142AIM N/A SO8	Texas Instruments	LM6142AIM/NOPB	
88	33	C34,X1/C10,X1/C15,X1/C20,X1/C24,X1/C31,X1/C40,X1/C8,X1/C9,X2/C10,X2/C15,X2/C20,X2/C24,X2/C31,X2/C40,X2/C8,X2/C9,X3/C10,X3/C15,X3/C20,X3/C24,X3/C31,X3/C40,X3/C8,X3/C9,X4/C10,X4/C15,X4/C20,X4/C24,X4/C31,X4/C40,X4/C8,X4/C9	CAPACITOR 0.1uF 25WVDC X7R 0603	Murata Electronics North America	GRM188R71E104KA01D	
89	2	R38,R42	RESISTOR 11.0k 1% 1/10W 0603	**MISSING**	**MISSING**	
90	4	PP/Q2,PP/Q5,Q2,Q3	NPN_TRANSISTOR MMBT2222A unknown UB	**MISSING**	**MISSING**	
91	2	R40,R44	RESISTOR 4.99k 1% 1/10W 0603	**MISSING**	**MISSING**	
92	2	R41,R45	RESISTOR 1.5k 1% 1/4W 0603	**MISSING**	**MISSING**	
93	2	C33,C35	CAPACITOR 47pF 50WVDC NP0 0603	**MISSING**	**MISSING**	
94	59	C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,PP/C2,PP/C3,PP/C4,PP/C5,PP/C6,PP/C7,PP/C8,X1/C28,X1/C29,X1/C30,X1/C32,X1/C33,X1/C36,X1/C37,X1/X5/C3,X1/X6/C3,X2/C28,X2/C29,X2/C30,X2/C32,X2/C33,X2/C36,X2/C37,X2/X5/C3,X2/X6/C3,X3/C28,X3/C29,X3/C30,X3/C32,X3/C33,X3/C36,X3/C37,X3/X5/C3,X3/X6/C3,X4/C28,X4/C29,X4/C30,X4/C32,X4/C33,X4/C36,X4/C37,X4/X5/C3,X4/X6/C3	CAPACITOR 22nF 50WVDC X7R 0603	Murata Electronics North America	GRM188R71H223KA01D	
95	9	U12,X1/U7,X1/U9,X2/U7,X2/U9,X3/U7,X3/U9,X4/U7,X4/U9	AD5328 unknown unknown TSSOP16	Analog Devices	AD5328ARUZ	
96	13	U14,U5,U6,U7,U8,X1/U10,X1/U8,X2/U10,X2/U8,X3/U10,X3/U8,X4/U10,X4/U8	MAX308CSE+ unknown unknown SO16	Maxim Integrated	MAX308CSE+	
97	5	R1,R2,R3,R34,R4	RESISTOR 464 1% 1/10W 0603	Panasonic Electronic Components	ERJ-3EKF4640V	
98	30	R37,R46,X1/R1,X1/R59,X1/R60,X1/R61,X1/R62,X1/X5/R6,X1/X6/R6,X2/R1,X2/R59,X2/R60,X2/R61,X2/R62,X2/X5/R6,X2/X6/R6,X3/R1,X3/R59,X3/R60,X3/R61,X3/R62,X3/X5/R6,X3/X6/R6,X4/R1,X4/R59,X4/R60,X4/R61,X4/R62,X4/X5/R6,X4/X6/R6	RESISTOR 49.9 1% 1/10W 0603	Panasonic Electronic Components	ERJ-3EKF49R9V	
99	9	R30,X1/R48,X1/R51,X2/R48,X2/R51,X3/R48,X3/R51,X4/R48,X4/R51	RESISTOR 330 5% 0.15W 0805	**MISSING**	**MISSING**	
100	37	C28,X1/C2,X1/C35,X1/C39,X1/C4,X1/C5,X1/X1/C16,X1/X2/C16,X1/X3/C16,X1/X4/C16,X2/C2,X2/C35,X2/C39,X2/C4,X2/C5,X2/X1/C16,X2/X2/C16,X2/X3/C16,X2/X4/C16,X3/C2,X3/C35,X3/C39,X3/C4,X3/C5,X3/X1/C16,X3/X2/C16,X3/X3/C16,X3/X4/C16,X4/C2,X4/C35,X4/C39,X4/C4,X4/C5,X4/X1/C16,X4/X2/C16,X4/X3/C16,X4/X4/C16	CAPACITOR 1uF 10WVDC X7R 0805	Murata Electronics North America	GRM21BR71A105KA01L	
101	23	U1,U13,U16,X1/U1,X1/U2,X1/U3,X1/X5/U1,X1/X6/U1,X2/U1,X2/U2,X2/U3,X2/X5/U1,X2/X6/U1,X3/U1,X3/U2,X3/U3,X3/X5/U1,X3/X6/U1,X4/U1,X4/U2,X4/U3,X4/X5/U1,X4/X6/U1	DUAL_OPAMP LT2078AIS8 N/A SO8	Linear Technology	LT2078AIS8	
102	7	R10,R32,R47,R51,R7,R8,R9	RESISTOR 100k 1% 1/10W 0603	Panasonic Electronic Components	ERJ-3EKF1003V	
103	3	Q1,Q4,Q5	LM195H unknown unknown TO39	**MISSING**	**MISSING**	
104	23	R33,R49,R53,X1/R3,X1/X1/R6,X1/X2/R6,X1/X3/R6,X1/X4/R6,X2/R3,X2/X1/R6,X2/X2/R6,X2/X3/R6,X2/X4/R6,X3/R3,X3/X1/R6,X3/X2/R6,X3/X3/R6,X3/X4/R6,X4/R3,X4/X1/R6,X4/X2/R6,X4/X3/R6,X4/X4/R6	RESISTOR 1 1% 1/10W 0603	Panasonic Electronic Components	ERJ-3RQF1R0V	
105	24	R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R31,R36,R39,R43,R48,R50,R52,R54	RESISTOR 10k 1% 1/10W 0603	Panasonic Electronic Components	ERJ-3EKF1002V	
106	276	C1,C2,C29,C3,C30,C31,C36,C4,C5,C6,PP/C1,PP/C12,X1/C34,X1/C38,X1/X1/C10,X1/X1/C11,X1/X1/C12,X1/X1/C13,X1/X1/C14,X1/X1/C17,X1/X1/C2,X1/X1/C22,X1/X1/C23,X1/X1/C25,X1/X1/C29,X1/X1/C5,X1/X1/C6,X1/X1/C7,X1/X1/C8,X1/X1/C9,X1/X2/C10,X1/X2/C11,X1/X2/C12,X1/X2/C13,X1/X2/C14,X1/X2/C17,X1/X2/C2,X1/X2/C22,X1/X2/C23,X1/X2/C25,X1/X2/C29,X1/X2/C5,X1/X2/C6,X1/X2/C7,X1/X2/C8,X1/X2/C9,X1/X3/C10,X1/X3/C11,X1/X3/C12,X1/X3/C13,X1/X3/C14,X1/X3/C17,X1/X3/C2,X1/X3/C22,X1/X3/C23,X1/X3/C25,X1/X3/C29,X1/X3/C5,X1/X3/C6,X1/X3/C7,X1/X3/C8,X1/X3/C9,X1/X4/C10,X1/X4/C11,X1/X4/C12,X1/X4/C13,X1/X4/C14,X1/X4/C17,X1/X4/C2,X1/X4/C22,X1/X4/C23,X1/X4/C25,X1/X4/C29,X1/X4/C5,X1/X4/C6,X1/X4/C7,X1/X4/C8,X1/X4/C9,X2/C34,X2/C38,X2/X1/C10,X2/X1/C11,X2/X1/C12,X2/X1/C13,X2/X1/C14,X2/X1/C17,X2/X1/C2,X2/X1/C22,X2/X1/C23,X2/X1/C25,X2/X1/C29,X2/X1/C5,X2/X1/C6,X2/X1/C7,X2/X1/C8,X2/X1/C9,X2/X2/C10,X2/X2/C11,X2/X2/C12,X2/X2/C13,X2/X2/C14,X2/X2/C17,X2/X2/C2,X2/X2/C22,X2/X2/C23,X2/X2/C25,X2/X2/C29,X2/X2/C5,X2/X2/C6,X2/X2/C7,X2/X2/C8,X2/X2/C9,X2/X3/C10,X2/X3/C11,X2/X3/C12,X2/X3/C13,X2/X3/C14,X2/X3/C17,X2/X3/C2,X2/X3/C22,X2/X3/C23,X2/X3/C25,X2/X3/C29,X2/X3/C5,X2/X3/C6,X2/X3/C7,X2/X3/C8,X2/X3/C9,X2/X4/C10,X2/X4/C11,X2/X4/C12,X2/X4/C13,X2/X4/C14,X2/X4/C17,X2/X4/C2,X2/X4/C22,X2/X4/C23,X2/X4/C25,X2/X4/C29,X2/X4/C5,X2/X4/C6,X2/X4/C7,X2/X4/C8,X2/X4/C9,X3/C34,X3/C38,X3/X1/C10,X3/X1/C11,X3/X1/C12,X3/X1/C13,X3/X1/C14,X3/X1/C17,X3/X1/C2,X3/X1/C22,X3/X1/C23,X3/X1/C25,X3/X1/C29,X3/X1/C5,X3/X1/C6,X3/X1/C7,X3/X1/C8,X3/X1/C9,X3/X2/C10,X3/X2/C11,X3/X2/C12,X3/X2/C13,X3/X2/C14,X3/X2/C17,X3/X2/C2,X3/X2/C22,X3/X2/C23,X3/X2/C25,X3/X2/C29,X3/X2/C5,X3/X2/C6,X3/X2/C7,X3/X2/C8,X3/X2/C9,X3/X3/C10,X3/X3/C11,X3/X3/C12,X3/X3/C13,X3/X3/C14,X3/X3/C17,X3/X3/C2,X3/X3/C22,X3/X3/C23,X3/X3/C25,X3/X3/C29,X3/X3/C5,X3/X3/C6,X3/X3/C7,X3/X3/C8,X3/X3/C9,X3/X4/C10,X3/X4/C11,X3/X4/C12,X3/X4/C13,X3/X4/C14,X3/X4/C17,X3/X4/C2,X3/X4/C22,X3/X4/C23,X3/X4/C25,X3/X4/C29,X3/X4/C5,X3/X4/C6,X3/X4/C7,X3/X4/C8,X3/X4/C9,X4/C34,X4/C38,X4/X1/C10,X4/X1/C11,X4/X1/C12,X4/X1/C13,X4/X1/C14,X4/X1/C17,X4/X1/C2,X4/X1/C22,X4/X1/C23,X4/X1/C25,X4/X1/C29,X4/X1/C5,X4/X1/C6,X4/X1/C7,X4/X1/C8,X4/X1/C9,X4/X2/C10,X4/X2/C11,X4/X2/C12,X4/X2/C13,X4/X2/C14,X4/X2/C17,X4/X2/C2,X4/X2/C22,X4/X2/C23,X4/X2/C25,X4/X2/C29,X4/X2/C5,X4/X2/C6,X4/X2/C7,X4/X2/C8,X4/X2/C9,X4/X3/C10,X4/X3/C11,X4/X3/C12,X4/X3/C13,X4/X3/C14,X4/X3/C17,X4/X3/C2,X4/X3/C22,X4/X3/C23,X4/X3/C25,X4/X3/C29,X4/X3/C5,X4/X3/C6,X4/X3/C7,X4/X3/C8,X4/X3/C9,X4/X4/C10,X4/X4/C11,X4/X4/C12,X4/X4/C13,X4/X4/C14,X4/X4/C17,X4/X4/C2,X4/X4/C22,X4/X4/C23,X4/X4/C25,X4/X4/C29,X4/X4/C5,X4/X4/C6,X4/X4/C7,X4/X4/C8,X4/X4/C9	CAPACITOR 0.1uF 16WVDC X7R 0603	Murata Electronics North America	GRM188R71C104KA01D	
